bird,trial,temp,time,bill.mean,eye.mean,season,frame,b.pix,e.pix
187,1,37,-1,40.9,35.7,s,22,192,32
187,1,37,3,40,34.1,s,35,158,32
192,2,37,-1,40.1,35.6,s,97,232,37
192,2,37,5,41.8,33.4,s,31,273,44
192,2,37,9,40.3,33.5,s,11,275,37
196,4,37,-1,41.2,36.1,s,1834,204,32
196,4,37,0,38,34.1,s,1,280,32
196,4,37,7,40.7,34.5,s,28,203,32
196,4,37,10,40.6,33.3,s,65,203,26
208,6,37,-1,40.6,35.5,w,109,293,36
208,6,37,5,38.2,32,w,103,424,57
208,7,37,-1,41.2,35.6,s,1902,260,37
208,7,37,2,42,35.2,s,54,467,52
212,9,37,-1,40.3,34.3,w,1731,365,44
212,9,37,0,38.1,32.1,w,33,249,44
212,10,37,-1,41.2,36.1,s,1864,346,30
212,10,37,6,40.8,34.6,s,1,233,37
